Date,Product ID,Image,BAAP SKU,Vendor SKU,Name,Quantity,Wholesale Price,Vendor Price,MRP,Vendor,Vendor ID,Category
09-06-2026,41711,https://live.staticflickr.com/65535/52371435745_9495675c9c_o_d.jpg,BSB803BSAPYYYaghdi_Gajari,BSB803BSAPYYYaghdi_Gajari,"Generic Women's Vichitra Saree with Blouse (Gajari, 5-6 Mtrs)",20,769,769,769,3 Buddy Fashion,116,Sarees
09-06-2026,41712,https://live.staticflickr.com/65535/52371245048_6464c3b19b_o_d.jpg,BSB803BSAPYYYaghdi_Grey,BSB803BSAPYYYaghdi_Grey,"Generic Women's Vichitra Saree with Blouse (Grey, 5-6 Mtrs)",20,769,769,769,3 Buddy Fashion,116,Sarees
09-06-2026,41713,https://live.staticflickr.com/65535/52904714763_c20f7ca3e3_o_d.jpg,BSB803BSAPYYYaghdi_LightGreen,BSB803BSAPYYYaghdi_LightGreen,"Generic Women's Vichitra Saree with Blouse (LightGreen, 5-6 Mtrs)",20,769,769,769,3 Buddy Fashion,116,Sarees
09-06-2026,41714,https://live.staticflickr.com/65535/52371327144_3a7b3f59fc_o_d.jpg,BSB803BSAPYYYaghdi_Orange,BSB803BSAPYYYaghdi_Orange,"Generic Women's Vichitra Saree with Blouse (Orange, 5-6 Mtrs)",20,769,769,769,3 Buddy Fashion,116,Sarees
09-06-2026,41715,https://live.staticflickr.com/65535/52370073217_dc4b35a977_o_d.jpg,BSB803BSAPYYYattri_Blue,BSB803BSAPYYYattri_Blue,"Generic Women's Satin Silk Saree with Blouse (Blue, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41716,https://live.staticflickr.com/65535/52371245008_99e7cc787b_o_d.jpg,BSB803BSAPYYYattri_Green,BSB803BSAPYYYattri_Green,"Generic Women's Satin Silk Saree with Blouse (Green, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41717,https://live.staticflickr.com/65535/52371327079_e1ba8155d4_o_d.jpg,BSB803BSAPYYYattri_Mustard,BSB803BSAPYYYattri_Mustard,"Generic Women's Satin Silk Saree with Blouse (Mustard, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41718,https://live.staticflickr.com/65535/52371017671_87b1ca67c4_o_d.jpg,BSB803BSAPYYYattri_Orange,BSB803BSAPYYYattri_Orange,"Generic Women's Satin Silk Saree with Blouse (Orange, 5-6 Mtrs)",18,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41719,https://live.staticflickr.com/65535/52371017681_9357eef13d_o_d.jpg,BSB803BSAPYYYattri_Purple,BSB803BSAPYYYattri_Purple,"Generic Women's Satin Silk Saree with Blouse (Purple, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41720,https://live.staticflickr.com/65535/52370073172_7666cdff2a_o_d.jpg,BSB803BSAPYYYattri_Red,BSB803BSAPYYYattri_Red,"Generic Women's Satin Silk Saree with Blouse (Red, 5-6 Mtrs)",20,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41721,https://live.staticflickr.com/65535/52371017641_0672a26eaf_o_d.jpg,BSB803BSAPYYYushpa_Blue,BSB803BSAPYYYushpa_Blue,"Generic Women's Vichitra Saree with Blouse (Blue, 5-6 Mtrs)",20,979,979,979,3 Buddy Fashion,116,Sarees
09-06-2026,41722,https://live.staticflickr.com/65535/52371244918_8e1dd97e05_o_d.jpg,BSB803BSAPYYYushpa_Pink,BSB803BSAPYYYushpa_Pink,"Generic Women's Vichitra Saree with Blouse (Pink, 5-6 Mtrs)",19,979,979,979,3 Buddy Fashion,116,Sarees
09-06-2026,41723,https://live.staticflickr.com/65535/52371326959_f77b3c3773_o_d.jpg,BSB803BSAPYYYushpa_Red,BSB803BSAPYYYushpa_Red,"Generic Women's Vichitra Saree with Blouse (Red, 5-6 Mtrs)",19,979,979,979,3 Buddy Fashion,116,Sarees
09-06-2026,41724,https://live.staticflickr.com/65535/52370073107_14824d10ce_o_d.jpg,BSB803BSAPYYYushpa_Silver,BSB803BSAPYYYushpa_Silver,"Generic Women's Vichitra Saree with Blouse (Silver, 5-6 Mtrs)",0,979,979,979,3 Buddy Fashion,116,Sarees
09-06-2026,41725,https://live.staticflickr.com/65535/52371017391_b1e0588ff4_o_d.jpg,BSB803BSAPYYYyramid_Chiku,BSB803BSAPYYYyramid_Chiku,"Generic Women's Vichitra Saree with Blouse (Chiku, 5-6 Mtrs)",0,671,671,671,3 Buddy Fashion,116,Sarees
09-06-2026,42027,https://live.staticflickr.com/65535/52436707749_7e377a01e3_o_d.jpg,BSB2SACYYYz_Rama,BSB2SACYYYz_Rama,"Generic Women's Cotton Woven Printed Sarees (Rama Blue, 5-6 Mtrs)",0,462,462,462,Priyank Corporation,36,Sarees
09-06-2026,42050,https://live.staticflickr.com/65535/52436453271_6b9e147a21_o_d.jpg,BSB2SAGYYYf_Beige,BSB2SAGYYYf_Beige,"Generic Women's Georgette Floral Hand Printed Sarees (Beige, 5-6 Mtrs)",0,588,588,588,Priyank Corporation,36,Sarees
